gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
Male,Yes,0,Graduate,No,6423.0,5437.0,478.0,180.0,1.0,Urban,1
Female,Yes,0,Graduate,No,2958.0,1955.0,371.0,300.0,1.0,Semiurban,1
Female,No,2,Graduate,No,11755.0,4138.0,339.0,120.0,1.0,Urban,1
Male,Yes,0,Graduate,No,13510.0,2428.0,263.0,360.0,1.0,Semiurban,1
Male,Yes,1,Graduate,Yes,1705.0,4518.0,448.0,240.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,14926.0,2921.0,296.0,300.0,1.0,Urban,1
Female,No,0,Graduate,Yes,14572.0,1822.0,128.0,180.0,1.0,Urban,1
Female,Yes,3+,Graduate,No,4186.0,5796.0,490.0,360.0,1.0,Urban,1
Male,Yes,0,Graduate,Yes,13830.0,1943.0,301.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,9015.0,2940.0,157.0,360.0,1.0,Semiurban,1
Male,No,0,Graduate,No,1533.0,441.0,262.5,180.0,1.0,Urban,1
Male,Yes,0,Graduate,No,2646.0,2910.0,206.0,360.0,1.0,Urban,1
Male,No,1,Graduate,No,6749.0,4608.0,473.0,240.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,7854.0,442.0,260.0,480.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,2832.0,5872.0,64.0,360.0,1.0,Urban,1
Female,Yes,0,Not Graduate,No,6424.0,2915.5,174.0,480.0,1.0,Urban,1
Female,Yes,1,Not Graduate,No,3052.0,5779.0,277.0,120.0,1.0,Rural,1
Male,Yes,2,Graduate,No,3480.0,1915.0,393.0,180.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,2584.0,1876.0,440.0,120.0,1.0,Urban,1
Female,Yes,0,Not Graduate,No,8975.0,5839.0,212.0,240.0,1.0,Semiurban,1
Male,No,0,Graduate,No,5797.0,2017.0,141.0,240.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,5117.0,237.0,340.0,360.0,1.0,Rural,1
Male,No,0,Graduate,Yes,14295.0,4604.0,194.0,360.0,1.0,Urban,0
Male,Yes,0,Graduate,No,5263.0,3938.0,451.0,180.0,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,12767.0,4033.0,101.0,480.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,13885.0,3076.0,105.0,120.0,1.0,Rural,1
Male,Yes,0,Graduate,No,8740.0,4977.0,443.0,480.0,1.0,Rural,1
Male,Yes,0,Not Graduate,No,12973.0,183.0,129.0,240.0,1.0,Urban,1
Female,No,0,Graduate,No,10268.0,2804.0,426.0,360.0,1.0,Semiurban,1
Male,No,1,Graduate,No,3233.0,4190.0,325.0,240.0,1.0,Semiurban,1
Male,No,0,Graduate,No,3556.0,3240.0,102.0,120.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,13045.0,11.0,97.0,300.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,10091.0,2753.0,399.0,240.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,1901.0,1258.0,95.0,120.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,6734.0,1186.0,150.0,300.0,0.0,Urban,0
Female,No,0,Not Graduate,No,14664.0,283.0,461.0,240.0,0.0,Rural,0
Male,Yes,2,Not Graduate,No,7278.0,2358.0,493.0,480.0,1.0,Rural,1
Female,Yes,0,Graduate,No,9202.0,3728.0,437.0,300.0,1.0,Rural,1
Male,Yes,1,Graduate,No,9267.0,5029.0,102.0,480.0,1.0,Rural,1
Male,Yes,2,Not Graduate,No,3419.0,1386.0,453.0,180.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,11757.0,1132.0,160.0,240.0,1.0,Urban,1
Male,No,0,Graduate,No,11117.0,17.0,249.0,120.0,1.0,Rural,1
Female,Yes,0,Graduate,No,6326.0,2915.5,198.0,300.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1819.0,53.0,382.0,120.0,1.0,Semiurban,1
Male,Yes,2,Graduate,No,2157.0,1478.0,116.0,180.0,1.0,Semiurban,1
Male,No,0,Graduate,No,9581.0,5015.0,87.0,180.0,1.0,Rural,1
Female,Yes,0,Graduate,Yes,3278.0,982.0,150.0,480.0,1.0,Rural,1
Female,Yes,1,Graduate,No,6627.0,2704.0,173.0,120.0,1.0,Semiurban,1
Female,Yes,2,Graduate,No,10148.0,857.0,221.0,300.0,1.0,Rural,1
Male,Yes,1,Graduate,No,3631.0,2437.0,65.0,300.0,1.0,Urban,1
Male,Yes,3+,Graduate,No,14952.0,5446.0,160.0,300.0,1.0,Urban,1
Male,No,0,Graduate,No,2068.0,40.0,233.0,300.0,1.0,Rural,1
Male,Yes,0,Graduate,No,1663.0,1775.0,103.0,360.0,0.0,Rural,0
Male,No,0,Graduate,No,12587.0,2136.0,121.0,360.0,1.0,Rural,1
Male,No,1,Graduate,No,13126.0,920.0,332.0,180.0,1.0,Urban,1
Female,No,2,Graduate,No,14655.0,1992.0,361.0,240.0,1.0,Urban,1
Male,No,0,Graduate,No,12060.0,259.0,153.0,360.0,1.0,Semiurban,1
Female,No,0,Graduate,No,2825.0,988.0,322.0,180.0,1.0,Urban,1
Male,Yes,0,Graduate,No,14046.0,4073.0,232.0,180.0,1.0,Rural,1
Male,Yes,1,Graduate,No,2553.0,2562.0,274.0,180.0,1.0,Urban,1
Male,Yes,0,Graduate,No,14288.0,3250.0,206.0,120.0,1.0,Urban,1
Male,Yes,0,Not Graduate,No,7483.0,3436.0,285.0,120.0,0.0,Semiurban,0
Female,Yes,0,Graduate,No,9366.0,4363.0,325.0,240.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,5085.0,3438.0,254.0,240.0,0.0,Urban,0
Female,No,2,Graduate,No,13527.0,2037.0,232.0,360.0,1.0,Rural,1
Female,No,0,Graduate,No,3578.0,3913.0,317.0,480.0,1.0,Urban,1
Male,No,0,Not Graduate,No,11324.0,3786.0,174.0,180.0,1.0,Rural,1
Female,Yes,0,Graduate,Yes,14594.0,5601.0,429.0,480.0,1.0,Urban,1
Male,No,0,Graduate,No,12307.0,2949.0,369.0,120.0,1.0,Semiurban,1
Male,No,2,Graduate,No,6197.0,195.0,250.0,360.0,1.0,Urban,1
Female,Yes,3+,Graduate,No,4873.0,1203.0,206.0,300.0,1.0,Semiurban,1
Male,Yes,3+,Graduate,No,14652.0,5851.0,283.0,120.0,0.0,Rural,1
Male,No,1,Graduate,Yes,13148.0,4272.0,65.0,300.0,1.0,Semiurban,1
Male,No,0,Graduate,No,5335.0,3687.0,399.0,300.0,1.0,Semiurban,1
Male,No,0,Graduate,No,11249.0,1153.0,161.0,240.0,0.0,Semiurban,1
Male,No,3+,Not Graduate,No,7790.0,5712.0,457.0,360.0,1.0,Urban,1
Female,No,0,Graduate,No,6853.0,5427.0,493.0,240.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,8320.0,5396.0,430.0,300.0,1.0,Semiurban,1
Male,No,0,Graduate,No,4121.0,5520.0,95.0,240.0,0.0,Urban,1
Male,No,0,Not Graduate,No,12473.0,1673.0,61.0,120.0,1.0,Urban,1
Female,Yes,1,Not Graduate,No,1563.0,3114.0,458.0,300.0,0.0,Rural,0
Male,No,2,Graduate,No,4218.0,1968.0,127.0,180.0,0.0,Urban,1
Male,Yes,0,Graduate,No,10414.0,5748.0,303.0,300.0,1.0,Urban,1
Male,Yes,1,Graduate,No,8452.0,1741.0,184.0,480.0,1.0,Rural,1
Male,Yes,1,Graduate,No,10659.0,5887.0,132.0,300.0,1.0,Rural,1
Female,Yes,0,Not Graduate,No,4031.0,3629.0,262.5,120.0,1.0,Rural,0
Male,No,0,Graduate,No,9423.0,3430.0,99.0,360.0,1.0,Urban,1
Male,Yes,1,Graduate,No,12451.0,5161.0,461.0,180.0,1.0,Urban,1
Male,Yes,0,Not Graduate,Yes,5997.0,466.0,113.0,480.0,1.0,Rural,1
Female,Yes,0,Not Graduate,No,2248.0,2015.0,63.0,240.0,1.0,Rural,1
Male,No,0,Not Graduate,Yes,12871.0,4965.0,53.0,360.0,1.0,Semiurban,1
Male,Yes,0,Graduate,No,8514.0,2790.0,279.0,480.0,1.0,Urban,1
Female,No,0,Graduate,No,4572.0,2761.0,218.0,480.0,1.0,Urban,1
Male,Yes,2,Graduate,No,6412.0,5602.0,88.0,480.0,1.0,Rural,1
Male,Yes,0,Graduate,No,5226.0,3215.0,142.0,240.0,1.0,Urban,1
Male,No,1,Graduate,Yes,10416.0,4724.0,334.0,120.0,1.0,Urban,1
Male,No,2,Graduate,No,12733.0,1910.0,403.0,120.0,0.0,Urban,1
Male,No,0,Not Graduate,No,3758.0,4647.0,427.0,180.0,1.0,Semiurban,1
Female,Yes,0,Graduate,No,14418.0,1673.0,390.0,360.0,1.0,Rural,1
Male,No,1,Graduate,No,6475.0,5834.0,261.0,360.0,1.0,Semiurban,1
Female,Yes,3+,Graduate,Yes,6985.0,71.0,289.0,180.0,1.0,Rural,1
Female,Yes,2,Graduate,No,14948.0,561.0,287.0,480.0,1.0,Semiurban,1
Male,Yes,1,Graduate,No,3968.0,4122.0,270.0,240.0,1.0,Semiurban,1
Male,No,0,Not Graduate,No,4108.0,1441.0,467.0,360.0,1.0,Urban,1
